playerid,yearid,teamid,lgid,round,pos,g,gs,innouts,po,a,e,dp,tp,pb,sb,cs
davisha01,1910,PHA,AL,WS,1B,5,5,137,44,2,3,6,false,,,
hartsto01,1910,PHA,AL,WS,LF,1,1,27,2,0,0,0,false,,,
lappja01,1910,PHA,AL,WS,C,1,1,27,4,2,0,0,false,0,1,2
lordbr01,1910,PHA,AL,WS,CF,1,1,27,5,0,0,0,false,,,
lordbr01,1910,PHA,AL,WS,LF,4,4,110,6,0,0,0,false,,,
murphda02,1910,PHA,AL,WS,RF,5,5,137,6,2,0,2,false,,,
strunam01,1910,PHA,AL,WS,CF,4,4,110,7,0,1,0,false,,,
thomair01,1910,PHA,AL,WS,C,4,4,110,27,8,1,1,false,0,2,6
amesre01,1911,NY1,NL,WS,P,2,1,24,0,1,1,0,false,,1,0
cranddo01,1911,NY1,NL,WS,P,2,0,12,0,2,0,0,false,,0,1
devorjo01,1911,NY1,NL,WS,LF,6,6,162,15,0,1,0,false,,,
doylela01,1911,NY1,NL,WS,2B,6,6,162,13,14,1,2,false,,,
fletcar01,1911,NY1,NL,WS,SS,6,6,162,11,18,4,1,false,,,
herzobu01,1911,NY1,NL,WS,3B,6,6,162,7,14,3,0,false,,,
marquru01,1911,NY1,NL,WS,P,3,2,35,0,2,0,0,false,,1,2
mathech01,1911,NY1,NL,WS,P,3,3,81,2,9,1,0,false,,2,3
merklfr01,1911,NY1,NL,WS,1B,6,6,162,62,4,2,0,false,,,
meyerch01,1911,NY1,NL,WS,C,6,6,159,37,12,0,1,false,1,4,6
murrare01,1911,NY1,NL,WS,RF,6,6,162,4,1,3,0,false,,,
snodgfr01,1911,NY1,NL,WS,CF,6,6,162,10,0,0,0,false,,,
wilsoar01,1911,NY1,NL,WS,C,1,0,3,1,0,0,0,false,0,0,0
wiltsho01,1911,NY1,NL,WS,P,2,0,10,0,2,0,0,false,,0,0
bakerfr01,1911,PHA,AL,WS,3B,6,6,167,10,11,2,1,false,,,
barryja01,1911,PHA,AL,WS,SS,6,6,167,8,12,3,0,false,,,
bendech01,1911,PHA,AL,WS,P,3,3,78,1,6,0,0,false,,1,3
collied01,1911,PHA,AL,WS,2B,6,6,167,13,22,3,1,false,,,
coombja01,1911,PHA,AL,WS,P,2,2,60,1,2,0,0,false,,2,6
davisha01,1911,PHA,AL,WS,1B,6,6,166,54,3,0,1,false,,,
lappja01,1911,PHA,AL,WS,C,2,2,62,18,7,0,1,false,0,2,6
lordbr01,1911,PHA,AL,WS,LF,6,6,167,14,1,0,0,false,,,
mcinnst01,1911,PHA,AL,WS,1B,1,0,1,1,0,0,0,false,,,
murphda02,1911,PHA,AL,WS,RF,6,6,167,8,0,1,0,false,,,
oldriru01,1911,PHA,AL,WS,CF,6,6,167,8,0,1,0,false,,,
planked01,1911,PHA,AL,WS,P,2,1,29,0,2,0,0,false,,0,0
thomair01,1911,PHA,AL,WS,C,4,4,105,31,5,0,0,false,0,1,3
bediehu01,1912,BOS,AL,WS,P,4,2,54,0,1,0,0,false,,1,6
cadyhi01,1912,BOS,AL,WS,C,7,6,165,35,8,1,0,false,0,8,7
